time,pressure,altitude,velocity,acc_x,acc_y,acc_z,acc_tot
2.800,99.1771,762.970,267.048,73.109,-19.745,-11.572,-108.808
2.820,99.1580,768.895,265.139,62.792,-7.293,1.761,-95.439
2.840,99.1373,774.721,262.942,67.595,36.644,10.817,-109.846
2.860,99.1125,780.779,261.335,41.980,-3.202,-23.395,-80.366
2.880,99.0862,787.151,259.809,41.624,-2.135,-14.339,-76.277
2.900,99.0640,793.492,258.552,16.899,-21.524,-13.836,-62.864
2.920,99.0452,799.542,257.125,33.797,12.096,15.597,-71.339
2.940,99.0220,805.688,255.952,8.894,16.009,19.119,-58.675
2.960,98.9977,811.997,254.360,22.235,-33.620,-24.905,-79.581
2.980,98.9826,817.758,253.716,0.000,38.067,-23.898,-32.200
3.000,98.9609,823.546,252.579,10.495,-5.514,-21.634,-56.870
3.020,98.9397,829.329,250.571,68.129,2.312,-0.755,-100.372
3.040,98.9220,834.841,248.845,51.764,-2.668,-15.597,-86.328
3.060,98.8988,840.552,247.012,42.158,39.668,-13.584,-91.659
3.080,98.8796,846.135,245.649,26.504,20.456,-13.081,-68.145
3.100,98.8613,851.542,243.706,64.749,2.135,-4.277,-97.125
3.120,98.8412,856.947,241.012,77.734,22.591,62.891,-134.709
3.140,98.8214,862.334,239.559,3.380,38.956,-10.314,-72.640
3.160,98.8028,867.621,238.289,28.639,6.226,-11.069,-63.528
3.180,98.7825,872.956,236.344,47.494,40.379,18.616,-97.259
3.200,98.7613,878.412,234.448,58.879,-5.159,20.628,-94.801
3.220,98.7421,883.816,232.362,45.538,-50.874,-23.144,-104.294
3.240,98.7259,888.961,230.652,46.427,-26.149,0.000,-85.484
